season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,accel_0_30
2025,12,680776,Jarren Duran,29.1,1.71,11.817132841,3.677476015,2.828827703846154,53.34903,1.89,24,6,0.7969616114997236,0.013223266466243055,1.71
2025,13,671739,Michael Harris II,28.5,1.72,11.572564706,3.727862745,2.867586726923077,53.996575,1.9633333333333332,20,6,0.7707631097577524,0.00043573851180112033,1.72
2025,14,695734,Daylen Lile,29.1,1.72,11.590785235,2.876694631,,,,8,6,0.6259819159205434,-0.15775642911293708,1.72
2025,15,669701,Josh Smith,27.5,1.72,11.149640288,3.668381295,2.821831765384615,52.676937499999994,1.9849999999999999,12,3,0.7946828201245163,0.037116034414608756,1.72
2026,1,802415,Chandler Simpson,29.6,1.65,12.159847107,3.596834711,,,,14,8,0.6627280149070491,-0.1354830607371309,1.65
2026,2,683083,Nasim Nuñez,29.6,1.67,11.528732719,4.505917051,,,,22,2,0.8928847035341492,0.09467362788996914,1.67
2026,3,691718,Pete Crow-Armstrong,29.2,1.67,12.341284884,3.9235,,,,12,4,0.7568407810709679,-0.029552334148573944,1.67
2026,4,687363,Victor Scott II,29.7,1.68,12.293602339,3.274192982,2.5186099861538462,56.168639999999996,1.92,7,4,0.6808535251556453,-0.1206117605147925,1.68
2026,5,666152,David Hamilton,29.4,1.68,12.102747967,4.256341463,,,,10,3,0.7718698001383514,-0.02019251935743005,1.68
2026,6,669003,Garrett Mitchell,29.7,1.7,11.222261084,2.596517241,1.9973209546153845,56.756699999999995,1.96,6,4,0.659577093499355,-0.14188819217108284,1.7
2026,7,680776,Jarren Duran,29.0,1.7,11.817132841,3.677476015,,,,10,0,0.9262437601660217,0.14504029735056145,1.7
2026,8,656775,Cedric Mullins,27.4,1.72,12.201346821,3.753213873,2.8870875946153847,49.97348999999999,1.89,10,5,0.6946828201245163,-0.06226729085600513,1.72
2026,9,701538,Jackson Merrill,28.6,1.72,11.943645455,3.682522727,2.8327097899999996,51.88612,1.88,10,0,0.9262437601660217,0.1539809465422476,1.72
2026,10,677951,Bobby Witt Jr.,30.5,1.73,13.020939024,4.500591463,3.461993433076923,57.681599999999996,1.97,16,3,0.8289023501037636,-0.002912582626171112,1.73
2026,11,695578,James Wood,27.6,1.73,10.639444444,2.729792593,,,,10,1,0.8683535251556453,0.11005017674831152,1.73
2026,12,669364,Xavier Edwards,28.1,1.73,12.329751656,4.399771523,,,,8,2,0.7929104268326884,0.029125945417631027,1.73
2026,13,682928,CJ Abrams,28.4,1.73,11.387557632,3.204844237,2.4652647976923077,52.34688,1.92,8,4,0.6996268472053133,-0.06888496963085533,1.73
2026,14,665862,Jazz Chisholm Jr.,28.4,1.73,12.165130769,5.637923077,4.336863905384615,55.07327999999999,2.02,13,3,0.8044598286900155,0.035948011853846884,1.73
2026,15,701807,Carson Benge,28.5,1.73,12.281895307,2.625790614,,,,9,2,0.8058535251556453,0.03552615390969405,1.73
